"ZUPANIJA_MBR";"GROP_MBR";"GROP_NAZIV";"GROP_VRSTA";"NASELJE_MBR";"NASELJE_NAZIV";"ULICA_MBR";"ULICA_NAZIV"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320019";"LEŠTEKOVA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320020";"LIPOVEČKA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320021";"LIVADSKA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320022";"MALA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320023";"NASELJE ŠTEFANDOL"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320024";"NASELJE VERIGOVE"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320025";"ŠIPKOVA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320026";"TRSNA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320027";"VINOGORSKA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320028";"ZIMIĆEVA ULICA"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590001";"ANTE STARČEVIĆA"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590002";"ANTUNA BRANKA ŠIMIĆA"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590003";"ANTUNA MIHANOVIĆA"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590004";"AUGUSTA ŠENOE"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590005";"BILJANSKA"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590026";"CVJETNA ULICA"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590006";"IVANA GUNDULIĆA"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590007";"IVANA MEŠTROVIĆA"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590008";"IVANA ZAJCA"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590009";"KNEZA DOMAGOJA"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590010";"KOLODVORSKA"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590011";"KRALJA TOMISLAVA"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590012";"LJUDEVITA GAJA"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590013";"MARKA MARULIĆA"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590014";"MATIJE GUPCA"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590015";"NIKOLE TESLE"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590016";"POLJSKA"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590017";"RUDINA GREGINCI"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590018";"RUDINA GUNJATICA"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590019";"RUDINA MJEREVCI"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590020";"RUDINA POGORELCI"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590021";"RUDINA SENOKOŠE"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590027";"RUDINA STARO SELO"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590022";"ŠKOLSKA"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590023";"TRI RUŽE"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590024";"VLADIMIRA NAZORA"
"16";"19";"ANDRIJAŠEVCI";"2";"159";"ANDRIJAŠEVCI";"1590025";"ŽELJEZNIČKA ULICA"
"14";"2054";"KOŠKA";"2";"35041";"ANDRIJEVAC";"350410001";"ULICA ANTE STARČEVIĆA"
"14";"2054";"KOŠKA";"2";"35041";"ANDRIJEVAC";"350410002";"ULICA BRAĆE RADIĆA"
